iteration,current_cost,best_cost,temperature
704,19.995000,14.536000,6.983373
705,20.767000,14.536000,6.983373
706,20.767000,14.536000,6.983373
707,18.923000,14.536000,6.983373
708,20.767000,14.536000,6.983373
709,22.376000,14.536000,6.983373
710,20.767000,14.536000,6.983373
711,23.483000,14.536000,6.983373
712,24.069000,14.536000,6.983373
713,24.069000,14.536000,6.983373
714,23.681000,14.536000,6.983373
715,22.344000,14.536000,6.983373
716,22.599000,14.536000,6.983373
717,22.344000,14.536000,6.983373
718,23.385000,14.536000,6.983373
719,17.379000,14.536000,6.983373
720,20.312000,14.536000,6.983373
721,22.173000,14.536000,6.983373
722,25.701000,14.536000,6.983373
723,23.128000,14.536000,6.983373
724,20.941000,14.536000,6.983373
725,25.566000,14.536000,6.983373
726,20.767000,14.536000,6.983373
727,20.767000,14.536000,6.983373
728,20.767000,14.536000,6.983373
729,22.376000,14.536000,6.983373
730,22.376000,14.536000,6.983373
731,24.956000,14.536000,6.983373
732,22.376000,14.536000,6.983373
733,22.376000,14.536000,6.983373
734,22.376000,14.536000,6.983373
735,21.018000,14.536000,6.983373
736,19.995000,14.536000,6.983373
737,21.734000,14.536000,6.983373
738,19.995000,14.536000,6.983373
739,17.374000,14.536000,6.983373
740,15.122000,14.536000,6.983373
741,14.536000,14.536000,6.983373
742,14.536000,14.536000,6.983373
743,14.536000,14.536000,6.983373
744,14.536000,14.536000,6.983373
745,14.536000,14.536000,6.983373
746,14.536000,14.536000,6.983373
747,21.465000,14.536000,6.983373
748,21.465000,14.536000,6.983373
749,23.074000,14.536000,6.983373
750,22.757000,14.536000,6.983373
751,21.734000,14.536000,6.983373
752,24.069000,14.536000,6.983373
753,22.944000,14.536000,6.983373
754,20.532000,14.536000,6.983373
755,24.868000,14.536000,6.983373
756,23.524000,14.536000,6.983373
757,24.069000,14.536000,6.983373
758,22.376000,14.536000,6.983373
759,20.532000,14.536000,6.983373
760,24.420000,14.536000,6.983373
761,25.331000,14.536000,6.983373
762,19.607000,14.536000,6.983373
763,21.598000,14.536000,6.983373
764,22.347000,14.536000,6.983373
765,22.347000,14.536000,6.983373
766,21.527000,14.536000,6.983373
767,20.532000,14.536000,6.983373
768,15.122000,14.536000,6.983373
769,15.122000,14.536000,6.983373
770,15.122000,14.536000,6.983373
771,15.122000,14.536000,6.983373
772,14.536000,14.536000,6.983373
